Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
106.40546999999974,1750,,,,-0.88671875,0.609375,0.05859375,,,11.450528876230406,10.506429195678823,12894,0,120.30417089119057,,85.02653167770295,,,1.974609375,,
106.43106000000006,1750,,,,-1.21875,0.083984375,1.119140625,,,11.450524821988253,10.49448706871078,12899,0,120.16738467430754,,85.15784155519955,,,1.97265625,,
106.46208000000007,1750,,,,-0.9375,-0.384765625,-0.26171875,0.0757936166965338,,11.450703347858084,10.48065210030918,12900,0,120.0108380927462,102.38656782263863,85.31443447092065,0.003937721840193393,0.003359445118998923,1.978515625,,
106.4932799999998,1750,,,,-1.03125,0.4765625,0.240234375,,,11.450862091182527,10.473693349924158,12885,0,119.93281813531708,,85.27091204811538,,,1.978515625,,
106.51503500000015,1750,,,,-1.125,0.107421875,0.490234375,,,11.450869133715788,10.474007285695183,12888,0,119.93648673408126,,85.29156916557166,,,1.966796875,,
106.53650999999978,1750,,,,-0.71875,-1.25,-0.775390625,,0.4026790872906208,11.450652321371704,10.472295283300559,12887,0,119.91461229581549,,85.29797111588773,,,1.97265625,,
106.55954999999982,1750,,,,-1.5,0.9609375,0.1484375,,,11.450699301626582,10.468739549621327,12881,0,119.87438864975951,,85.28873002812259,,,1.986328125,,
106.58210999999987,1750,,,,-0.53125,-0.87890625,0.509765625,,,11.45034418668292,10.46017314755368,12876,0,119.77258279178805,,85.3273749122558,,,1.98046875,,
106.60499499999965,1750,,,,-1.25,1.13671875,0.73046875,0.07563755408803181,,11.450029076496822,10.461764986021754,12875,0,119.78751328142545,101.98296430394174,85.13655681652378,0.003948493653219461,0.0033616115424700216,1.974609375,,
106.62643999999995,1750,,,,-1.048828125,-1.013671875,-0.01171875,,,11.449837557301167,10.459174952901499,12875,0,119.75585419411526,,85.15682599696996,,,1.9765625,,
106.64959999999962,1750,,,,-1.328125,1.009765625,-0.453125,,,11.449407320718725,10.465131499455275,12868,0,119.81955320214736,,85.0660413979476,,,1.990234375,,
106.67158499999996,1750,,,,-0.9609375,-0.630859375,0.529296875,,0.40231244549642114,11.448519710954903,10.485281802807947,12885,0,120.04095539436354,,85.01879467165568,,,1.990234375,,
106.69352000000002,1750,,,,-0.8125,0.6171875,0.451171875,,,11.44806846414187,10.480135779126925,12885,0,119.97731191294785,,85.06465733660309,,,1.9765625,,
106.72181999999984,1750,,,,-1.109375,-0.4609375,0.359375,,,11.447920115462054,10.47679938793552,12892,0,119.93756245880758,,85.13838499371104,,,1.974609375,,
106.74556000000005,1750,,,,-0.884765625,-0.14453125,0.0625,,,11.447463675543574,10.4757174740811,12879,0,119.92039525980046,,85.06402263520876,,,1.982421875,,
106.76725,1750,,,,-1.625,0.994140625,-0.140625,0.07543128589594386,,11.447341254512143,10.471313037118504,12874,0,119.8686937187175,101.69605082044498,84.83954205681408,0.003956028206117324,0.003356276213708334,1.982421875,,
106.78910999999987,1750,,,,-0.7734375,-0.892578125,0.232421875,,,11.447425467663393,10.471713616711536,12875,0,119.87416114602118,,84.83957614231372,,,1.9765625,,
106.81207999999961,1750,,,,-1.21875,1.203125,0.763671875,,,11.446929055994266,10.470074797957736,12872,0,119.8502034231757,,84.839174209343,,,1.97265625,,
106.8345249999999,1750,,,,-0.6875,-0.74609375,0.33984375,,0.4020852836588954,11.44666042482205,10.47011701562451,12869,0,119.84787408600502,,84.81968160429516,,,1.984375,,
106.856375,1750,,,,-1.484375,0.6953125,-0.517578125,,,11.447224717694825,10.465283334488104,12870,0,119.79845006423194,,84.86007527159059,,,1.986328125,,
