Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message
139.006714999999,1991,,,,-1.041015625,-0.03125,-0.015625,,,11.7473294412484,10.6843281943781,14968,0,125.512323157778,,67.8483768653191,,,0.15234375,
139.029834999999,1991,,,,-0.986328125,-0.00390625,0.0390625,,,11.7472997440998,10.6835388643571,14973,0,125.502733367342,,67.8759719155905,,,0.15234375,
139.05346,1991,,,,-1,-0.021484375,0.080078125,0.054265068929226,,11.7471205025159,10.6842204498217,14974,0,125.508825099501,85.0909376302024,67.7967764918077,0.004042475818461,0.002740668295377,0.150390625,
139.079635,1991,,,,-1.037109375,-0.06640625,-0.0234375,,,11.7469525709893,10.6829052226557,14971,0,125.49158097091,,67.7918304970638,,,0.150390625,
139.10117,1991,,,,-1.048828125,0,-0.0859375,,,11.7467285506895,10.6811632960153,14972,0,125.468725843879,,67.8091509029397,,,0.150390625,
139.131974999999,1992,,,,-0.986328125,-0.021484375,-0.03125,,0.344373317987351,11.7462778235775,10.6798743862085,14974,0,125.448771661315,,67.8300536866003,,,0.150390625,
139.157444999999,1992,,,,-1.03125,-0.02734375,0.099609375,,,11.7465477150477,10.6803641433493,14968,0,125.457407023937,,67.7982297337804,,,0.150390625,
139.179639999999,1992,,,,-1.078125,-0.005859375,0.033203125,0.053899441569764,,11.7466799072271,10.6805031522112,14966,0,125.460451777155,84.4755726867138,67.3324314476092,0.004076602348285,0.00274487548155,0.15234375,
139.202754999999,1992,,,,-1.0859375,-0.025390625,-0.0625,,,11.7465211233788,10.6835465705423,14968,0,125.494505463476,,67.3193263614708,,,0.154296875,
139.231399999999,1992,,,,-0.984375,-0.052734375,-0.05078125,,,11.7461914284784,10.6824922778296,14968,0,125.478599228629,,67.3287519613526,,,0.154296875,
139.256824999999,1992,,,,-1.041015625,-0.02734375,-0.037109375,,,11.7458701511357,10.6827404499342,14968,0,125.478082183212,,67.3308579796881,,,0.15234375,
139.279799999999,1992,,,,-1.048828125,0.025390625,0.076171875,,0.344968827162145,11.7457382947313,10.6825631689112,14963,0,125.474591298966,,67.310109061322,,,0.15234375,
139.304845,1992,,,,-1.078125,0.0703125,0.044921875,,,11.7455039732684,10.6813847470197,14959,0,125.458246986129,,67.3001893904138,,,0.15234375,
139.33027,1993,,,,-1.048828125,0.015625,-0.029296875,,,11.7450540244868,10.6827671152314,14964,0,125.469676899403,,67.3185117092409,,,0.15234375,
139.35168,1993,,,,-1.0234375,-0.0234375,-0.099609375,0.053695463816023,,11.7450896229578,10.6827804012966,14969,0,125.470213235606,84.1707695856099,67.0842643963275,0.004098439741736,0.00274940815247,0.154296875,
